# GECK Function Index - Auto-generated from GECK wiki XML
# Format: Name | Origin | Signature | Summary | Categories
# Search this file with grep to find relevant functions.
# For full details, grep the original XML for the function name.
#
# Origins: GECK1=base game, NVSE=NVSE plugin, JIP=JIP LN NVSE, JG=JohnnyGuitar,
#          SO=ShowOff NVSE, kNVSE=kNVSE, NX=NX, Hot Reload, etc.

"componentPath<nowiki>|templateName|</nowiki>''altTileName''" | JIP | "componentPath<nowiki>|templateName|</nowiki>''altTileName''"("componentPath<nowiki>|templateName|</nowiki>''altTileName''":, formatVars(up to 20):?) -> int | Creates a new UI tile from a pre-defined Template, returning 1 on success. Function argument uses the following format:<pre> "componentPath|templateName|altTileName(optional)"</pre> | Functions (JIP); UI Functions (JIP); UI Functions; Functions_(ButcherPete FOSE); Functions (FO3)
"keyword:string" | JIP | "keyword:string"("keyword:string":) | Returns an array_var of forms associated with a specified keyword. | Functions (JIP); Keyword Functions (JIP); Array Functions
AddAchievement | GECK1 | AddAchievement(AchievementNumber:int) | Adds an achievement by index to GFWL or Steam (New Vegas) | Functions (GECK); Player Functions; Functions (FO3)
AddAmmoEffect | JIP | AddAmmoEffect(ammo:ref, ammoEffect:ref) -> successful:0/1 | Adds an ammo effect to an ammo type. | Functions_(JIP); Ammo Functions (JIP); Ammo Effect Functions (JIP)
AddBaseEffectListEffect | JIP | reference.AddBaseEffectListEffect(actorEffect:ref, baseActor:ref?) | Adds the specified 'Actor Effect' to the effect list attached to the <u>base form</u> of the specified base actor or calling reference. | Functions (JIP); Actor Functions (JIP); Actor_Functions; Game Effect Functions
AddCardToPlayer | VEGAS1 | CardRef.AddCardToPlayer() (alias: AddCard) | Adds a playing card to the player's Caravan deck. | Functions (Vegas); Player Functions; Savebaked Functions
AddCreatureToLeveledList | GECK1 | AddCreatureToLeveledList(LeveledCreatureID:ref, CreatureOrLeveledCreatureToAddID:ref, iLevel:int) | Adds a form to a LeveledCreature list. This should be used in the RARE case where we want to add an item to a LeveledCreature list that already exists in the ESM. It's primary use it for modifying lists from the base game in downloadable content. In most cases you should add items to form lists in the editor object windows. This is for those special cases where you want to alter the contents of a list at runtime or want to change it without putting it in your ESP/ESM file. Once altered using this function, it will persist in the save game data. (parameters are Base Objects) It can 'not' be undone. | Functions (GECK); Object Functions; Leveled List Functions; Creature Functions; Actor Functions; Functions (FO3); Savebaked Functions
AddDestructionStage | JIP | AddDestructionStage(object:ref, index:int, healthPercent:int, damageStage:int) -> stageCount:int | Adds a new destruction stage to the specified <i>Object</i>, at the specified <i>index</i>, and with the specified <i>Health Percentage</i> and <i>Model Damage Stage</i>. | Functions_(JIP); Destruction Data Functions (JIP)
AddFormToFormList | GECK1 | AddFormToFormList(formList:baseForm, form:baseForm/refr) | Adds a form to a FormList. Unlike ListAddForm, this function adds the new form at the 0th index, adding 1 to the indices of the other list entries. This function was originally intended to modify lists from the base game in downloadable content. The change to the list is savebaked. | List Functions; Functions (GECK); Functions (FO3); Savebaked Functions
AddItem | GECK1 | <nowiki>ActorID|ContainerID</nowiki>.AddItem(ObjectID:ref, Count:int, SilentlyAdd:int?) | Adds Count items of object ObjectID to the calling container's inventory. It has two required parameters (the object to add and the quantity) and one optional parameter, SilentlyAdd (if false, will display a message on screen and play a sound). | Functions (GECK); Object Functions; List Functions; Functions (FO3); Savebaked Functions
AddItemAlt | JIP | reference.AddItemAlt(item:form, quantity:int, condition:float?, equipItem:0/1?, noMessage:0/1?) | Adds <i>quantity</i> of the specified item to the calling reference's inventory. *Unlike the vanilla AddItem/AddItemHealthPercent functions, this does not cause the infamous "invisible weapon" glitch when used on actors. *The 1st argument '<i>item</i>' may be either an 'Item' form, a 'Leveled Item', or a 'Form List' of items. *The 3rd argument '<i>condition</i>' is optional and sets the item(s) health percent (100% by default). *The 4th argument '<i>equipItem</i>' is optional. If non-zero, and the calling reference is an actor, the added item(s) will be immediately equipped. This is mainly intended to be used with leveled items, where it is not possible to reliably determine which item(s) was added. *The 5th argument '<i>noMessage</i>' is optional (1 by default). If non-zero, the function will not display corner messages. | Functions (JIP); Inventory Functions (JIP); Object Functions; Leveled List Functions; List Functions; Savebaked Functions
AddItemHealthPercent | GECK1 | Actor|Container.AddItemHealthPercent(Item:ObjectID, Count:int, HealthPercent:float, MessageHiddenFlag:int?) | AddItemHealthPercent adds an item to a container at a specified health percentage. | Functions (GECK); Object Functions; Functions (FO3); Savebaked Functions
AddItemHealthPercentOwner | NVSE | Actor/Container.AddItemHealthPercentOwner(Item:ObjectID, Count:int, HealthPercent:float, Owner:NPC/Faction, Rank:int) | Similar to AddItemHealthPercent, but allows ownership information to be specified. Does nothing if the item cannot be given health (like Caps). Use AddItemOwnership for that instead. | Functions_(NVSE); Object Functions; Ownership Functions; Savebaked Functions
AddItemOwnership | NVSE | Actor/Container.AddItemOwnership(Item:ObjectID, Count:int, Owner:NPC/Faction, Rank:int) | Similar to AddItem, but allows ownership information to be specified. | Functions_(NVSE); Object Functions; Ownership Functions; Savebaked Functions; Functions_(ButcherPete FOSE); Functions (FO3)
AddItemToLeveledList | GECK1 | AddItemToLeveledList(LeveledItem:, ObjectToAdd:, iLevel:int, iCount:int, fHealthPercent100:float) | 'AddItemToLeveledList' adds a form to a Leveled Item list. This should be used in the RARE case where we want to add an item to a Leveled Item list that already exists in the ESM. Its primary use is for modifying lists from the base game in downloadable content. In most cases you should add items to form lists in the editor object windows. This is for those special cases where you want to alter the contents of a list at runtime or want to change it without putting it in your ESP/ESM file. Once altered using this function, it will persist in the save game data. It can 'not' be undone. | Functions (GECK); Object Functions; Leveled List Functions; Functions (FO3); Savebaked Functions
AddNavmeshObstacle | JohnnyGuitar | reference.AddNavmeshObstacle() | Adds a reference to Navmesh Obstacle list. | Functions (JohnnyGuitar NVSE); Navmesh Functions
AddNewEffect | JIP | AddNewEffect(effectForm:ref, baseEffect:ref, duration:int, magnitude:int, range:int?, area:int?, append:0/1?) -> effectCount:int | Adds a new effect-entry to the effect list of the specified ingestible/Object Effect/Actor Effect, with the specified parameters. | Functions_(JIP); Effect Functions (JIP); Game Effect Functions
AddNote | GECK1 | AddNote(NoteID:ref) (alias: AN) | Adds a note to the players note inventory. It is not called on a Reference and it takes one parameter, the note to add. Also displays a corner message which informs that a note was added. This message is determined by the sComputersAddedNote GameSetting. | Functions (GECK); Player Functions; Note Functions; Functions (FO3); Savebaked Functions
AddNoteNS | LU | AddNoteNS(note:form) | "No-Spam" version of AddNote. Does not display the corner message. | Savebaked Functions; Functions_(JIP); Player Functions; Note Functions; Functions_(Command Extender); Functions (FO3)
AddNPCToLeveledList | GECK1 | AddNPCToLeveledList(LeveledCharacterList:, NPCorLeveledCharacterToAdd:, iLevel:int) | 'AddNPCToLeveledList' Adds a form to a LeveledCharacter list. This should be used in the RARE case where we want to add an item to a LeveledCharacter list that already exists in the ESM. It's primary use it for modifying lists from the base game in downloadable content. In most cases you should add items to form lists in the editor object windows. This is for those special cases where you want to alter the contents of a list at runtime or want to change it without putting it in your ESP/ESM file. Once altered using this function, it will persist in the save game data. (parameters are Base Objects) It can 'not' be undone. | Functions (GECK); Savebaked Functions; Object Functions; Leveled List Functions; Functions (FO3)
AddObjectiveTarget | JIP | AddObjectiveTarget(quest:ref, objectiveIndex:int, targetRef:ref) | Adds the specified reference as a quest target linked to the specified 'Objective' of the specified 'Quest'. | Quest Functions; Functions (JIP); Quest Functions (JIP)
AddPackageAt | NVSE | actor.AddPackageAt(package:baseform, index:int?, actor:reference?) -> int:index | Adds a package to calling actor's AI package list at a specified index. Using -1 as an index appends the package to the end of the list. Existing packages are not replaced when adding at the same index, indices are shifted up instead. <br><br> This only affects the targeted actor ref, so the base actor form and other refs using it are unaffected This is perfect for dynamically adding packages to spawned actors without having a mess of packages with equally messy conditions on the base actor form. | Functions (NVSE); Actor Functions; AI Functions; Package Functions
AddPerk | GECK1 | ActorRef.AddPerk(perk:form, forTeammates:0/1?) | Increments the rank of the specified Perk on the calling Actor. If actor doesn't already have the perk, it will be added with rank 1. *When called on the Player character, this function will add the perk to the player, <u>unless</u> the optional argument '<i>forTeammates</i>' is non-zero, in which case it will add the perk for all teammates. *When called on any actor other than the player, this function will work correctly only if the 'uNPCPerks' optional [https://www.nexusmods.com/newvegas/mods/58277 JIP LN] feature is toggled in 'Data\NVSE\plugins\jip_nvse.ini'. | Functions (GECK); Player Functions; Perk Functions; Savebaked Functions; Functions (FO3)
AddPrimitive | JIP | reference.AddPrimitive(shapeType:int, boundX:float, boundY:float, boundZ:float) -> success:0/1 | Creates and attaches a geometric primitive to the calling reference, with the specified shape and dimensions. This function will only work on: 1. Activator-type objects - in which case the primitive will function as a cubic/spherical activator (trigger) - or 2. A <b>CollisionMarker</b> - in which case the primitive will function as a collision plane/box/sphere. | Functions (JIP); Misc Reference Functions (JIP)
AddRecipeInputForm | LU | AddRecipeInputForm(recipe:baseform, ingredient:baseform, count:int) | Adds an input form entry to a recipe form. | Functions_(JIP); Recipe_Functions_(JIP)
AddRecipeOutputForm | LU | AddRecipeOutputForm(recipe:baseform, output:baseform, count:int) | Adds an output form entry to a recipe form. | Functions_(JIP); Recipe_Functions_(JIP); Recipe Functions
AddRefMapMarker | JIP | reference.AddRefMapMarker() | Adds a 'Map Marker' showing the location of the calling reference, much like map markers of followers. The calling reference may be of <i>any</i> type, <u>except</u> pick-able objects (inventory items). 'Note: For safety reasons, any map markers added by this function are <u>removed</u> (and, therefore, must be re-added) once a saved-game is loaded.' | Functions (JIP); Misc Reference Functions (JIP); UI Functions; Map Functions; Map_Marker_Functions_(JIP); UI Functions (JIP)
AddScriptPackage | GECK1 | [ActorRefID].AddScriptPackage(PackageID:ref) | Add a script package to the calling actor. This package takes precedence over all other packages until it is done. | Functions (GECK); AI Functions; Package Functions; Functions (FO3)
AddScriptVariable | JIP | reference.AddScriptVariable(varName:string, quest:ref?) -> added:0/1 | Adds a new variable to either an object script (when called by an object reference), or a quest script (when called on a quest). | Functions_(JIP); Script Functions (JIP); Script_Functions; Savebaked Functions
AddSPECIALPoints | GECK1 | AddSPECIALPoints(iAddedPoints:int) | AddSPECIALPoints opens the CharGen menu to the Attributes page for distributing SPECIAL points. It adds the given number of SPECIAL points to the character via a SetAV override. When the menu is in this state, the player cannot decrease their character's SPECIAL points past their base values. | Functions (GECK); Player Functions; Actor Value Functions; UI Functions; Savebaked Functions; Functions (FO3)
AddSpell | GECK1 | [ActorRefr].AddSpell(spellEffect:baseForm) | Adds the Actor Effect to the calling actor, which will instantly be applied. The only types of actor effects used in the Vanilla Game are addictions and abilities. | Functions (GECK); Game Effect Functions; Actor Functions; Functions (FO3)
AddSpellNS | FOSE1 | reference.AddSpellNS(spell:baseform) | Identical to AddSpell but without the UI message. | Functions_(FOSE); Functions_(NVSE); Game Effect Functions; Actor Functions; Functions (FO3)
AddTagSkills | GECK1 | AddTagSkills(iAddedPoints:int) | Opens the CharGen menu to the Skills page for selecting Tagged Skills. It lets the player choose an extra amount of Skills to tag. In this menu state, the player may not un-Tag their initial Tagged Skills. | Functions (GECK); Player Functions; Actor Value Functions; UI Functions; Savebaked Functions; Functions (FO3)
AddToFaction | GECK1 | [ActorRefID].AddToFaction(FactionID:ref, FactionRank:int) (alias: AddFac) | Adds an actor (only the reference not the base object) into a faction. It is called on the Reference and has two parameters: the faction, and the faction rank. | Functions (GECK); Faction Functions; Functions (FO3)
AddTopic | GECK1 | AddTopic(TopicID:ref) | Adds a Topic to the Add Topic list of a Topic, creating a new choice for that Topic. | Functions (GECK); Dialogue Functions; Functions (FO3)
AdvancePCLevel | GECK1 | AdvancePCLevel() (alias: AdvLevel) | Advances the player character's level and opens the level up menu. | Functions (GECK); Player Functions; UI Functions; Savebaked Functions; Functions (FO3)
AdvanceSeed | ShowOff | AdvanceSeed(numIncrement:UInt) -> bool | If a seed has been set for the calling mod, advances that seed's internal numGenerated count by numIncrement. This will make in the next call(s) of RandSeeded/GetRandomPercentSeeded generate the next number(s) in the pseudo-random sequence. Effectively, this discards what would have been returned by X amount of RandSeeded/GetRandomPercentSeeded calls. This function returns 0 (false) if no seed has been set for the calling mod, 1 (true) otherwise. | Math Functions; Functions (ShowOff NVSE)
AgeRace | GECK1 | [ActorRefID].AgeRace(AgeValue:int) | AgeRace changes an actor to be an older or younger version of their current race. In Fallout 3, this command is used only to set the player's age from adult to child before the vault tutorial quest and the Tranquility Lane quest, and back to adult again on completion of these quests. Giving this command a positive parameter will change the target actor to be older by that many steps, up to the maximum available. A negative value will make the actor younger by that many steps, down to the lowest available. This is done by having each age step be a separate "race", and having them linked by the "older race" and "younger race" dropdowns in the "General data" tab of the Race form's properties window. With the default Fallout 3 races, only humans have these "age races", so the AgeRace command will not affect Super Mutants, robots, Ghouls, or other non-humans. If you view all "RACE" type objects in the GECK, you will see that there are four race groups that have age subraces: AfricanAmerican, Asian, Caucasian, and Hispanic. These each have three ages, eg: AsianChild, Asian, and AsianOld. This means that the valid parameter values for the default Fallout 3 races are: -2, -1, 1, 2. Trying to set the actor to an age younger than a child will set the actor to be a child; trying to set them older than old will set them to old. They also all have eg "AsianOldAged" versions, but the ~OldAged versions are not chained with the "older"/"younger" dropdowns, so are ignored by the AgeRace command. | Functions (GECK); Actor Functions; Savebaked Functions; Functions (FO3)
AllowAttack | kNVSE | reference.AllowAttack() | Sets the current Anim Action of the calling reference to 0, allowing attack action while another animation action is playing. This function can also used to enable new actions even when other animation actions are in progress, such as reloading while attack animation is playing. | Functions (kNVSE); Animation Functions
animName | NVSE | actorRef.animName(animName:string, baseActor:form?) | Removes an animation from the base actor's or creature's animation list. | Functions (NVSE); Animation Functions
animName | NVSE | actorRef.animName(animName:string, baseActor:form?) | Adds an animation to the base actor's or creature's animation list. | Functions (NVSE); Animation Functions
ApplyEasing | ShowOff | ApplyEasing(input:float{0-1}, easingFuncName:string, easingMode:int{0,1,2}) -> float{0-1} (alias: Ease) | Applies an [https://easings.net/ easing function] to an input value (assumed to be between 0-1), to specify the rate of change of that input over time, and returns that eased value. The easing function to use is specified via easingFuncName (which is NOT case-sensitive). Possible values are in 'Notes'. easingMode is used to specify the mode of the easing function. Possible values: <pre> 0 = EaseIn 1 = EaseOut 2 = EaseInOut </pre> Returns -1 if the operation was not successful (example: invalid easingFuncName string). | Functions (ShowOff NVSE); Math Functions
ApplyEasingAlt | ShowOff | ApplyEasingAlt(input:float{0-1}, easingFuncCode:int, easingMode:int{0,1,2}) -> float{0-1} (alias: EaseAlt) | Applies an [https://easings.net/ easing function] to an input value (assumed to be between 0-1), to specify the rate of change of that input over time, and returns that eased value. The easing function to use is specified via easingFuncCode. Possible values: <pre> Sine = 0 Quad = 1 Cubic = 2 Quart = 3 Quint = 4 Circ = 5 Expo = 6 Back = 7 Elastic = 8 Bounce = 9 </pre> easingMode is used to specify the mode of the easing function. Possible values: <pre> 0 = EaseIn 1 = EaseOut 2 = EaseInOut </pre> Returns -1 if the operation was not successful (example: invalid easingFuncName string). | Functions (ShowOff NVSE); Math Functions
ApplyImageSpaceModifier | GECK1 | ApplyImageSpaceModifier(ImageSpaceModifierID:ref) (alias: imod) | 'ApplyImageSpaceModifier' will play the specified ImageSpace Modifier. | Functions (GECK); Functions (FO3); Imagespace Functions
ar_All | NVSE | ar_All(source:array, conditionFunction:function/lambda) -> 0/1 | Takes an array and a function and returns true if all of the elements satisfy the function condition. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
ar_Any | NVSE | ar_Any(source:array, conditionFunction:function/lambda) -> 0/1 | Takes an array and a function and returns true if any of the elements satisfy the function condition. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_Append | NVSE | Ar_Append(list:array, element:multi) -> None | Appends to the end of an existing regular array (list) a new element. The regular array must have been initialized prior, for example by using Ar_Construct or Ar_List. This function can not be used to add elements to map or stringmap arrays. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
ar_Cat | LU | ar_Cat(baseArray:array_var, toAddArray:array_var, overrideOldKeys:int?) (alias: pinto_Cat) | Concatenates the elements of the second 'array_var' to the first. If either the first or second array are invalid, will do nothing. Will also do nothing if both arrays have different types. For 'Map' or 'StringMap'-type arrays, if 'overrideOldKeys' is set to non-zero, then the values for the keys from the 'baseArray' can be overwritten if the 'toAddArray' has matching keys. | Functions (JIP); Miscellaneous Functions (JIP); Array Functions
Ar_Construct | NVSE | Ar_Construct(type:string) -> Array | Returns an empty array of the specified type. To assign the function return to a variable, the let command must be used, rather than 'set'. Type is specified as one of three strings; 'array', 'map' or 'stringmap'. This type can later be checked using TypeOf. | Functions_(NVSE); Array Functions
Ar_DeepEquals | NVSE | Ar_DeepEquals(array1:array_var, array2:array_var) -> bool (alias: Ar_DeepCompare) | Compares the contents of two arrays, including key/element pairs from nested sub-arrays (though the arrays do not need to have sub-arrays). Returns 1 (true) if the arrays have the same contents in the same order, 0 (false) otherwise. If both arrays are null, also returns 1. In xNVSE v6.2.1, with NVSE Expressions enabled via Let, Eval, etc, the Equality/Inequality operators (==/!=) can be used to compare the surface contents of two arrays. However, any sub-arrays are compared via checking their numeric IDs only, and not by checking their contents, so this function is made for comparing potentially multidimensional arrays in an extensive manner. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_Dump | NVSE | Ar_Dump(ToDump:array) -> None | Prints the contents of an array to the console in a human readable format. Intended as a debugging tool. | Functions_(NVSE); Array Functions; Debugging; NVSE-Aware Functions
Ar_DumpF | NVSE | Ar_DumpF(ToDump:array, fileName:string, bAppend:bool?) -> None | Like Ar_Dump, but prints the contents of the array to the specified file (in the Fallout directory). Intended as a debugging tool. If bAppend is omitted or set to 1, the contents of the file are appended to the file's previous text. Otherwise, all previous content is erased. | Functions_(NVSE); Array Functions; Debugging; NVSE-Aware Functions
Ar_Erase | NVSE | Ar_Erase(Parent:array, ToErase:index-or-range?) -> int | Erases the entry at the specified index, if it exists, from the specified array. The index may be specified using range notation to delete all elements with indices within the range, inclusively. Alternatively, the index argument may be omitted to erase all entries in an array. Returns the count of entries erased. The array may be of any type, but the index must be appropriate to it (int or string). Arrays of type "array" (Ar_List) are always indexed consecutively, so any entries above the erased will have their keys shifted down. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_Filter | NVSE | Ar_Filter(source:array, filter:function/lambda) -> array | Takes an array and a function and returns a new array that containing elements that pass the test implemented by the provided filter function. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_FindWhere | NVSE | Ar_FindWhere(Source:array, FindFunction:function/lambda) -> multi | Returns the value of the first element in the provided array that satisfies the provided testing function. If no values satisfy the testing function, 0 is returned. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_ForEach | NVSE | Ar_ForEach(source:array, function:function/lambda) | Takes an array and a function and executes the function once for each array element. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_Generate | NVSE | Ar_Generate(numElems:int, valueGenerator:function/lambda, keyGenerator:function/lambda?) -> array | Creates a new Array populated with a specified amount of elements. For each element, starting from the first element to the last one, valueGenerator is called and an element is set to that result. <br> If keyGenerator is omitted, then the resulting array will be of 'Array' type, and each value being generated is being appended to that array. <br> Otherwise, each Value being generated is tied to the Key generated by keyGenerator. In the latter case, the type of the returned array will be a 'StringMap' / 'Map', depending on the type of value that the keyGenerator first returns. <br> Key generation and Value generation are evaluated side-by-side, with the valueGenerator function being called first. Returns Ar_Null if the keyGenerator function ever returns a non-string or non-numeric element. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
ar_Init | NVSE | ar_Init(numElems:int, initElem:anyType) -> array | Creates a new (numerically-indexed) Array populated with a specified amount of an element. Every element of that array is set to the provided elem, which can be of any type. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_Insert | NVSE | Ar_Insert(Array:array, Index:int, Element:multi) -> bool | Inserts a single element into an Array-type array (list) at the specified index, provided the index is not greater than the current size of the array. Elements at and above the index are shifted up by one index. Usable only with Array-type arrays. Note that this modifies an array in place- it returns a boolean, not a new array. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_InsertRange | NVSE | Ar_InsertRange(Array:array, Index:int, ToInsert:array) -> bool | Similar to Ar_Insert, but allows for multiple new elements to be inserted at once. Inserts a range of elements into an Array-type array (list) at the specified index, provided the index is not greater than the current size of the array. Elements above the insertion index are shifted up by the number of elements inserted. The range is itself passed as an Array, and each element of the range is inserted into the target Array in order. Usable only with Array-type (regular/list) arrays. Note that this function modifies an array in place and returns a boolean, not a new array. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_List | NVSE | Ar_List(entry0:multi, entry1:multi, ...entry19:multi) -> Array | Returns a list array variable with the specified elements as its entries in the same order. Up to 20 elements may specified during creation, although more can be added using alternative functions on subsequent lines. Array elements may be of any type, and in any combination. To assign the function return to a variable, the let command must be used, rather than 'set'. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_Map | NVSE | Ar_Map(Key(int/float/string)::Value(multi), ...Key(int/float/string)::Value(multi)?) -> array | Returns a "map" or "stringmap" array variable with the specified key::element pairs as its entries. Up to 20 key::element pairs may be specified during creation, although more can be added using Let or alternative functions on subsequent lines. All keys must be of the same type, either numeric (ints and floats can be mixed) or string, which will cause the function to return an array of the type "map" or "stringmap", respectively. The array's type can be checked using TypeOf. Array elements may be of any type in any combination. To assign the function return to a variable, the <b>Let .. := ..</b> command must be used, rather than '<b>set .. to ..</b>'. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_MapTo | NVSE | Ar_MapTo(Source:array, MapFunction:function/lambda) -> array | Creates a new Array populated with the results of calling a provided function on every element in the calling array. The type of the new array will be the same as the source array. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_Range | NVSE | Ar_Range(Start:int, End:int, <i>step</i>:<i>int</i>) -> array | Returns a regular array (list) containing all int values between the specified start and end (inclusive), at the specified step interval. The step argument is optional and defaults to 1. A negative step interval can be used to order elements in reverse. To assign the function return to a variable, the let command must be used, rather than 'set'. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
Ar_Unique | NVSE | Ar_Unique(source:array_var) -> array | Returns a (non-deeply) copied version of the source array that has no duplicate values. The first instance of a value in the array is what's kept in the new array; all other duplicate values following that are discarded. | Functions_(NVSE); Array Functions; NVSE-Aware Functions
armor | JohnnyGuitar | armor(armor:baseform, modelID:int) -> array | Returns an array of alternate texture forms of a specified Armor model. Model IDs are as follows:<pre> 1 - Male Biped model 2 - Female Biped model 3 - Male World model 4 - Female World model </pre> | Functions (JohnnyGuitar NVSE); Armor Functions; Texture Functions
armor | JohnnyGuitar | armor(armor:ref, flagID:int(0-3), isFemale:int(0/1)) -> int(0/1) | Returns a specified Facegen model flag for a specified Armor. Flag IDs are as follows: <pre> 0 - Head 1 - Torso 2 - RightHand 3 - LeftHand</pre> | Functions (JohnnyGuitar NVSE); File Functions; Model Functions; FaceGen Functions; Flag Functions
